ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,percentile_cat,lisa_cat
11,3.58187154534,7.4475086296,0.0,0.0,4.43323640258,-0.0464743800134,-0.162136678076,-0.0406098331621,-0.331625468871,0.291015635709,0,lL
28,3.58187154534,7.44943566461,0.0,0.0,2.48998788359,-0.03485578501,0.0265858902361,-0.0304573748716,0.050312178374,0.0807695532456,0,Lh
32,3.58187154534,7.4498890846,0.0,0.0,4.18643073833,-0.13942314004,-0.240177458638,-0.121829499486,-0.489564778322,0.367735278835,0,lL
34,3.58187154534,7.4501157946,0.0,0.0,4.29477071962,-0.10456735503,-0.235661284528,-0.0913721246148,-0.480424923298,0.389052798683,0,lL
71,3.58198490034,7.4478486946,0.0,0.0,2.7931128924,-0.127804545037,0.0464322404424,-0.111677041196,0.0904773179858,0.202154359182,0,Lh
77,3.58198490034,7.4485288246,0.0,0.0,3.17575627331,-0.267227685077,-0.00913301849728,-0.233506540682,-0.0219759220148,0.211530618667,0,Ll
85,3.58198490034,7.44943566461,0.0,0.0,3.58395530518,-0.0580929750167,-0.0275169019662,-0.0507622914527,-0.0591813143647,0.00841902291203,0,Ll
86,3.58198490034,7.4495490196,0.0,0.0,4.47431046101,-0.0116185950033,-0.0478759767193,-0.0101524582905,-0.100384108396,0.0902316501058,0,lL
128,3.58209825534,7.4478486946,0.0,0.0,4.6118276036,-0.0232371900067,-0.230295253444,-0.0203049165811,-0.469565123615,0.449260207034,0,lL
129,3.58209825534,7.4479620496,0.0,0.0,4.65873665598,-0.0116185950033,-0.216345604268,-0.0101524582905,-0.441333756091,0.4311812978,0,lL
131,3.58209825534,7.4481887596,0.0,0.0,4.14869006664,-0.232371900067,-0.367610534713,-0.203049165811,-0.74746445451,0.5444152887,0,lL
132,3.58209825534,7.44830211461,0.0,0.0,4.63847723902,-0.0232371900067,-0.313818341441,-0.0203049165811,-0.638599553391,0.61829463681,0,lL
134,3.58209825534,7.4485288246,0.0,0.0,3.47433160087,-0.708734295204,-0.244930094899,-0.619299955722,-0.49918318659,0.120116769132,0,Ll
143,3.58209825534,7.4495490196,0.0,0.0,4.39506890766,-0.185897520054,-0.566039716101,-0.162439332649,-1.14904639228,0.986607059633,0,lL
144,3.58209825534,7.44966237461,0.0,0.0,4.39056787269,-0.0232371900067,-0.0696951788847,-0.0203049165811,-0.144541915353,0.124236998771,0,lL
189,3.58221161034,7.44830211461,0.0,0.0,4.18487673555,-0.162660330047,-0.279206821619,-0.142134416067,-0.56855259204,0.426418175972,0,lL
