ID,lat,lon,COUNTt1,COUNTt2
11,3.58187154534,7.4475086296,4,0
28,3.58187154534,7.44943566461,3,0
32,3.58187154534,7.4498890846,12,0
34,3.58187154534,7.4501157946,9,0
71,3.58198490034,7.4478486946,11,0
77,3.58198490034,7.4485288246,23,0
85,3.58198490034,7.44943566461,5,0
86,3.58198490034,7.4495490196,1,0
128,3.58209825534,7.4478486946,2,0
129,3.58209825534,7.4479620496,1,0
131,3.58209825534,7.4481887596,20,0
132,3.58209825534,7.44830211461,2,0
134,3.58209825534,7.4485288246,61,0
143,3.58209825534,7.4495490196,16,0
144,3.58209825534,7.44966237461,2,0
189,3.58221161034,7.44830211461,14,0
191,3.58221161034,7.4485288246,97,0
199,3.58221161034,7.44943566461,21,0
200,3.58221161034,7.4495490196,6,0
247,3.58232496534,7.44841546961,6,0
248,3.58232496534,7.4485288246,31,0
255,3.58232496534,7.4493223096,3,0
300,3.58243832034,7.4479620496,6,0
304,3.58243832034,7.44841546961,4,0
305,3.58243832034,7.4485288246,124,4
306,3.58243832034,7.4486421796,1,0
309,3.58243832034,7.44898224461,19,1
310,3.58243832034,7.44909559961,8,0
312,3.58243832034,7.4493223096,18,3
313,3.58243832034,7.44943566461,5,0
321,3.58243832034,7.45034250461,6,0
350,3.58255167534,7.4471685646,0,7
353,3.58255167534,7.4475086296,10,0
354,3.58255167534,7.44762198461,53,30
355,3.58255167534,7.44773533961,153,142
356,3.58255167534,7.4478486946,172,50
357,3.58255167534,7.4479620496,9,17
358,3.58255167534,7.44807540461,38,12
359,3.58255167534,7.4481887596,3,0
362,3.58255167534,7.4485288246,200,26
363,3.58255167534,7.4486421796,1,7
365,3.58255167534,7.4488688896,3,3
366,3.58255167534,7.44898224461,0,2
369,3.58255167534,7.4493223096,93,7
371,3.58255167534,7.4495490196,2,0
372,3.58255167534,7.44966237461,20,0
373,3.58255167534,7.44977572961,3,0
376,3.58255167534,7.4501157946,2,0
377,3.58255167534,7.4502291496,1,0
410,3.58266503034,7.4475086296,52,21
411,3.58266503034,7.44762198461,24,0
412,3.58266503034,7.44773533961,117,112
413,3.58266503034,7.4478486946,73,68
414,3.58266503034,7.4479620496,109,124
415,3.58266503034,7.44807540461,129,113
416,3.58266503034,7.4481887596,55,108
417,3.58266503034,7.44830211461,89,68
418,3.58266503034,7.44841546961,166,69
419,3.58266503034,7.4485288246,375,103
420,3.58266503034,7.4486421796,558,113
421,3.58266503034,7.44875553461,375,43
422,3.58266503034,7.4488688896,363,11
423,3.58266503034,7.44898224461,540,10
424,3.58266503034,7.44909559961,252,3
425,3.58266503034,7.4492089546,161,3
426,3.58266503034,7.4493223096,205,12
427,3.58266503034,7.44943566461,17,6
428,3.58266503034,7.4495490196,4,3
429,3.58266503034,7.44966237461,18,0
430,3.58266503034,7.44977572961,12,0
431,3.58266503034,7.4498890846,5,0
433,3.58266503034,7.4501157946,3,0
436,3.58266503034,7.4504558596,0,2
437,3.58266503034,7.4505692146,0,2
439,3.58266503034,7.4507959246,0,2
464,3.58277838534,7.4471685646,12,4
465,3.58277838534,7.44728191961,24,22
469,3.58277838534,7.44773533961,62,39
472,3.58277838534,7.44807540461,0,2
473,3.58277838534,7.4481887596,28,14
475,3.58277838534,7.44841546961,1,0
476,3.58277838534,7.4485288246,62,4
477,3.58277838534,7.4486421796,14,7
479,3.58277838534,7.4488688896,1,1
480,3.58277838534,7.44898224461,133,19
481,3.58277838534,7.44909559961,42,6
482,3.58277838534,7.4492089546,338,16
483,3.58277838534,7.4493223096,846,79
484,3.58277838534,7.44943566461,420,20
485,3.58277838534,7.4495490196,388,74
486,3.58277838534,7.44966237461,383,69
487,3.58277838534,7.44977572961,78,84
488,3.58277838534,7.4498890846,362,67
489,3.58277838534,7.4500024396,301,122
490,3.58277838534,7.4501157946,167,92
491,3.58277838534,7.4502291496,119,143
492,3.58277838534,7.45034250461,75,174
493,3.58277838534,7.4504558596,96,248
494,3.58277838534,7.4505692146,28,102
495,3.58277838534,7.45068256961,6,22
496,3.58277838534,7.4507959246,1,0
497,3.58277838534,7.4509092796,2,0
499,3.58277838534,7.4511359896,3,0
500,3.58277838534,7.4512493446,7,10
501,3.58277838534,7.45136269961,13,0
521,3.58289174034,7.4471685646,2,8
523,3.58289174034,7.44739527461,21,0
526,3.58289174034,7.44773533961,44,45
527,3.58289174034,7.4478486946,1,0
530,3.58289174034,7.4481887596,62,7
533,3.58289174034,7.4485288246,64,22
534,3.58289174034,7.4486421796,3,5
536,3.58289174034,7.4488688896,0,11
537,3.58289174034,7.44898224461,112,18
539,3.58289174034,7.4492089546,0,4
540,3.58289174034,7.4493223096,208,92
541,3.58289174034,7.44943566461,11,4
543,3.58289174034,7.44966237461,3,0
544,3.58289174034,7.44977572961,5,6
545,3.58289174034,7.4498890846,11,35
546,3.58289174034,7.4500024396,24,4
547,3.58289174034,7.4501157946,2,0
548,3.58289174034,7.4502291496,2,2
549,3.58289174034,7.45034250461,1,22
550,3.58289174034,7.4504558596,81,150
551,3.58289174034,7.4505692146,104,262
552,3.58289174034,7.45068256961,71,226
553,3.58289174034,7.4507959246,137,89
554,3.58289174034,7.4509092796,71,13
555,3.58289174034,7.4510226346,83,82
556,3.58289174034,7.4511359896,237,110
557,3.58289174034,7.4512493446,146,24
558,3.58289174034,7.45136269961,277,20
559,3.58289174034,7.4514760546,161,83
560,3.58289174034,7.4515894096,99,62
561,3.58289174034,7.4517027646,51,0
562,3.58289174034,7.4518161196,1,0
576,3.58300509534,7.4469418546,14,0
577,3.58300509534,7.44705520961,6,18
578,3.58300509534,7.4471685646,4,24
579,3.58300509534,7.44728191961,5,0
580,3.58300509534,7.44739527461,21,0
581,3.58300509534,7.4475086296,3,0
582,3.58300509534,7.44762198461,40,0
583,3.58300509534,7.44773533961,43,81
587,3.58300509534,7.4481887596,90,98
588,3.58300509534,7.44830211461,4,1
589,3.58300509534,7.44841546961,9,0
590,3.58300509534,7.4485288246,88,30
591,3.58300509534,7.4486421796,2,10
593,3.58300509534,7.4488688896,6,4
594,3.58300509534,7.44898224461,118,63
596,3.58300509534,7.4492089546,0,3
597,3.58300509534,7.4493223096,423,275
598,3.58300509534,7.44943566461,30,0
599,3.58300509534,7.4495490196,7,0
600,3.58300509534,7.44966237461,11,0
601,3.58300509534,7.44977572961,44,56
603,3.58300509534,7.4500024396,2,3
604,3.58300509534,7.4501157946,0,2
606,3.58300509534,7.45034250461,13,8
607,3.58300509534,7.4504558596,11,33
608,3.58300509534,7.4505692146,1,0
609,3.58300509534,7.45068256961,4,10
610,3.58300509534,7.4507959246,2,0
614,3.58300509534,7.4512493446,20,0
616,3.58300509534,7.4514760546,0,3
618,3.58300509534,7.4517027646,2,0
620,3.58300509534,7.4519294746,12,0
621,3.58300509534,7.45204282961,22,0
622,3.58300509534,7.4521561846,17,0
623,3.58300509534,7.45226953961,34,9
632,3.58311845034,7.4468284996,0,1
633,3.58311845034,7.4469418546,7,0
634,3.58311845034,7.44705520961,0,1
635,3.58311845034,7.4471685646,15,84
636,3.58311845034,7.44728191961,7,30
637,3.58311845034,7.44739527461,48,66
638,3.58311845034,7.4475086296,236,231
639,3.58311845034,7.44762198461,242,222
640,3.58311845034,7.44773533961,291,239
641,3.58311845034,7.4478486946,212,114
642,3.58311845034,7.4479620496,141,115
643,3.58311845034,7.44807540461,20,8
644,3.58311845034,7.4481887596,277,192
645,3.58311845034,7.44830211461,83,79
646,3.58311845034,7.44841546961,54,29
647,3.58311845034,7.4485288246,179,55
648,3.58311845034,7.4486421796,109,55
649,3.58311845034,7.44875553461,56,28
650,3.58311845034,7.4488688896,4,12
651,3.58311845034,7.44898224461,78,68
652,3.58311845034,7.44909559961,0,5
653,3.58311845034,7.4492089546,0,2
654,3.58311845034,7.4493223096,499,243
655,3.58311845034,7.44943566461,9,6
656,3.58311845034,7.4495490196,0,17
657,3.58311845034,7.44966237461,0,4
658,3.58311845034,7.44977572961,51,23
659,3.58311845034,7.4498890846,1,0
661,3.58311845034,7.4501157946,1,1
662,3.58311845034,7.4502291496,0,26
663,3.58311845034,7.45034250461,2,12
664,3.58311845034,7.4504558596,9,20
665,3.58311845034,7.4505692146,8,20
666,3.58311845034,7.45068256961,4,28
667,3.58311845034,7.4507959246,0,9
669,3.58311845034,7.4510226346,1,0
670,3.58311845034,7.4511359896,2,0
672,3.58311845034,7.45136269961,9,0
673,3.58311845034,7.4514760546,3,0
680,3.58311845034,7.45226953961,0,14
681,3.58311845034,7.4523828946,0,21
688,3.58323180534,7.44671514461,3,7
689,3.58323180534,7.4468284996,5,37
690,3.58323180534,7.4469418546,62,125
691,3.58323180534,7.44705520961,73,118
692,3.58323180534,7.4471685646,176,318
693,3.58323180534,7.44728191961,195,243
694,3.58323180534,7.44739527461,108,114
695,3.58323180534,7.4475086296,161,176
696,3.58323180534,7.44762198461,3,31
697,3.58323180534,7.44773533961,267,175
698,3.58323180534,7.4478486946,1,0
699,3.58323180534,7.4479620496,198,97
700,3.58323180534,7.44807540461,248,91
701,3.58323180534,7.4481887596,468,188
702,3.58323180534,7.44830211461,141,152
703,3.58323180534,7.44841546961,59,176
704,3.58323180534,7.4485288246,120,253
705,3.58323180534,7.4486421796,69,211
706,3.58323180534,7.44875553461,155,173
707,3.58323180534,7.4488688896,265,276
708,3.58323180534,7.44898224461,345,287
709,3.58323180534,7.44909559961,154,116
710,3.58323180534,7.4492089546,136,167
711,3.58323180534,7.4493223096,675,631
712,3.58323180534,7.44943566461,6,13
713,3.58323180534,7.4495490196,36,23
714,3.58323180534,7.44966237461,0,12
715,3.58323180534,7.44977572961,0,3
717,3.58323180534,7.4500024396,4,2
718,3.58323180534,7.4501157946,1,1
719,3.58323180534,7.4502291496,0,23
720,3.58323180534,7.45034250461,3,27
721,3.58323180534,7.4504558596,24,32
722,3.58323180534,7.4505692146,3,0
723,3.58323180534,7.45068256961,3,3
724,3.58323180534,7.4507959246,0,1
726,3.58323180534,7.4510226346,3,0
737,3.58323180534,7.45226953961,0,1
738,3.58323180534,7.4523828946,4,27
745,3.58334516034,7.44671514461,0,2
747,3.58334516034,7.4469418546,19,3
749,3.58334516034,7.4471685646,111,81
752,3.58334516034,7.4475086296,1,1
753,3.58334516034,7.44762198461,196,144
754,3.58334516034,7.44773533961,373,171
757,3.58334516034,7.44807540461,0,3
758,3.58334516034,7.4481887596,207,116
759,3.58334516034,7.44830211461,3,26
761,3.58334516034,7.4485288246,54,85
762,3.58334516034,7.4486421796,5,16
763,3.58334516034,7.44875553461,0,18
764,3.58334516034,7.4488688896,34,11
765,3.58334516034,7.44898224461,102,94
767,3.58334516034,7.4492089546,0,3
768,3.58334516034,7.4493223096,810,996
769,3.58334516034,7.44943566461,11,2
770,3.58334516034,7.4495490196,11,32
771,3.58334516034,7.44966237461,0,4
772,3.58334516034,7.44977572961,0,3
774,3.58334516034,7.4500024396,5,8
775,3.58334516034,7.4501157946,8,59
776,3.58334516034,7.4502291496,2,27
777,3.58334516034,7.45034250461,37,63
778,3.58334516034,7.4504558596,33,79
779,3.58334516034,7.4505692146,6,0
780,3.58334516034,7.45068256961,3,0
782,3.58334516034,7.4509092796,1,0
783,3.58334516034,7.4510226346,2,0
784,3.58334516034,7.4511359896,1,0
795,3.58334516034,7.4523828946,33,65
804,3.58345851534,7.4469418546,66,4
