MASTER_ID,UNCODE,code,x10,x30
1,28,28,61,59
2,784,784,52,49
3,4,4,109,106
4,12,12,81,78
5,31,31,84,80
6,8,8,67,66
7,51,51,74,72
8,24,24,84,85
9,32,32,46,47
10,36,36,27,29
11,40,40,27,28
12,48,48,59,62
13,52,52,55,52
14,72,72,69,67
15,56,56,32,34
16,50,50,96,92
17,84,84,69,67
18,70,70,84,78
19,68,68,85,82
20,450,450,83,83
21,204,204,77,79
22,112,112,79,77
23,90,90,89,86
24,76,76,67,64
25,64,64,87,82
26,100,100,61,56
27,96,96,68,64
28,108,108,97,98
29,124,124,28,27
30,116,116,89,89
31,148,148,113,108
32,144,144,96,92
33,178,178,93,90
34,180,180,110,111
35,156,156,83,78
36,152,152,38,44
37,120,120,95,93
38,174,174,85,83
39,170,170,88,84
40,188,188,52,50
41,140,140,106,104
42,192,192,79,73
43,132,132,77,75
44,196,196,68,67
45,208,208,23,23
46,262,262,82,84
47,212,212,77,74
48,218,218,82,80
49,818,818,88,90
50,372,372,22,27
51,226,226,89,86
52,233,233,51,48
53,232,232,93,95
54,222,222,78,74
55,231,231,99,98
56,203,203,42,40
57,246,246,19,20
58,242,242,81,81
59,583,583,71,71
60,250,250,35,34
61,270,270,80,81
62,266,266,75,75
63,268,268,90,85
64,288,288,67,68
65,308,308,67,65
66,276,276,35,32
67,300,300,46,50
68,320,320,81,79
69,324,324,105,102
70,328,328,73,71
71,332,332,102,105
72,340,340,80,79
73,191,191,59,56
74,348,348,50,48
75,352,352,30,29
76,360,360,83,81
77,356,356,79,78
78,364,364,92,90
79,376,376,85,82
80,380,380,46,46
81,384,384,101,104
82,368,368,107,104
83,392,392,31,44
84,388,388,67,66
85,400,400,77,75
86,404,404,101,98
87,417,417,88,87
88,408,408,98,96
89,410,410,41,38
90,414,414,62,59
91,398,398,73,71
92,418,418,89,86
93,422,422,91,86
94,428,428,55,52
95,440,440,48,44
96,430,430,92,93
97,703,703,49,47
98,426,426,82,79
99,442,442,27,26
100,434,434,69,85
101,450,450,83,83
102,498,498,84,79
103,496,496,60,59
104,454,454,94,89
105,807,807,73,69
106,466,466,79,78
107,504,504,77,76
108,480,480,44,45
109,478,478,89,88
110,470,470,48,44
111,512,512,49,52
112,462,462,78,75
113,499,499,57,56
114,484,484,76,74
115,458,458,69,69
116,508,508,82,82
117,562,562,98,97
118,566,566,100,101
119,528,528,28,28
120,578,578,19,24
121,524,524,95,93
122,740,740,73,71
123,558,558,83,80
124,554,554,24,26
125,600,600,72,71
126,604,604,77,74
127,586,586,103,102
128,616,616,49,44
129,591,591,59,56
130,620,620,33,34
131,598,598,84,84
132,624,624,97,99
133,634,634,52,48
134,642,642,60,60
135,608,608,87,83
136,643,643,79,77
137,646,646,89,89
138,682,682,78,73
139,690,690,68,65
140,710,710,68,67
141,686,686,75,79
142,705,705,36,34
143,694,694,94,90
144,702,702,35,36
145,706,706,114,115
146,724,724,44,43
147,688,688,78,75
148,736,736,112,109
149,752,752,21,21
150,760,760,88,95
151,756,756,22,23
152,780,780,66,64
153,764,764,79,77
154,762,762,89,86
155,626,626,98,93
156,768,768,88,88
157,678,678,76,74
158,788,788,68,74
159,792,792,77,77
160,795,795,83,77
161,834,834,81,80
162,800,800,98,97
163,826,826,34,35
164,804,804,70,67
165,840,840,35,35
166,854,854,91,87
167,858,858,41,41
168,860,860,91,88
169,862,862,79,77
170,704,704,77,74
171,516,516,75,71
172,882,882,71,69
173,748,748,83,84
174,887,887,100,105
175,894,894,84,86
176,716,716,110,106
