ids,UNCODE,code,x10,x30,theta,dx,dy,zdx,zdy,abs_dist,percentile_cat,lisa_cat
1,28,28,19.0,20.0,4.65360542914,-0.0145720788305,-0.247608217262,-0.352597517764,0.0770123596912,0.429609877455,0,lL
2,784,784,19.0,21.0,1.79796433281,-0.0307256755291,0.132920620264,-0.743462689789,0.296824336134,1.04028702592,0,lH
3,4,4,21.0,23.0,4.671379569,-0.0179294536266,-0.436958269115,-0.433835207531,-0.0323654457021,0.401469761829,0,lL
4,12,12,22.0,23.0,1.57655929215,-0.0242153170173,4.20183837054,-0.585932918114,2.64722925811,3.23316217622,2,lH
5,31,31,22.0,24.0,1.62769792155,-0.0376749722627,0.661392750299,-0.911613357033,0.602095558556,1.51370891559,1,lH
6,8,8,23.0,26.0,4.71358064298,0.000908032504731,-0.761987562548,0.0219714709851,-0.22011818438,0.242089655365,0,hL
7,51,51,24.0,26.0,4.68989729694,-0.0116536422563,-0.518043796873,-0.281980723565,-0.0792043928719,0.202776330693,0,lL
8,24,24,27.0,27.0,1.508466152,0.0329907307807,0.528604263738,0.798269753944,0.52539046606,0.272879287884,0,hH
9,32,32,27.0,27.0,4.72451134482,0.0244599161791,-2.01765242747,0.591851432439,-0.94545132208,1.53730275452,1,hL
10,36,36,27.0,28.0,4.72925703988,0.034327649487,-2.03487506439,0.830618893881,-0.955399955372,1.78601884925,1,hL
11,40,40,28.0,28.0,4.73696022399,0.0201945088783,-0.821710326156,0.488642271686,-0.254616959276,0.743259230962,0,hL
12,48,48,28.0,29.0,1.44199676214,0.0556446339707,0.429633368069,1.34642147103,0.468220059925,0.878201411103,0,hH
13,52,52,30.0,29.0,1.70725527687,-0.0300521901658,0.218860131773,-0.727166506513,0.346467180556,1.07363368707,0,lH
14,72,72,31.0,32.0,4.67934580515,-0.0127761178618,-0.386508486447,-0.309141029026,-0.0032231959017,0.305917833124,0,lL
15,56,56,32.0,34.0,1.41240507793,0.0354501250924,0.221938858738,0.857779199343,0.348245603089,0.509533596253,0,hH
16,50,50,33.0,34.0,4.65553037693,-0.0349810308096,-0.614565322117,-0.846428623926,-0.134959923441,0.711468700485,0,lL
17,84,84,34.0,34.0,4.70352423372,-0.0127761178618,-1.44118988229,-0.309141029026,-0.612458500234,0.303317471208,0,lL
18,70,70,35.0,34.0,4.5873674687,-0.0659412534801,-0.524688366132,-1.59556660142,-0.0830426194592,1.51252398196,1,lL
19,68,68,35.0,35.0,1.58785572081,-0.0233173365329,1.36670004279,-0.564204673745,1.00951537717,1.57372005092,1,lH
20,450,450,35.0,35.0,4.72770406383,0.018633095051,-1.21655479624,0.450861070656,-0.482698341808,0.933559412464,0,hL
21,204,204,35.0,36.0,1.46891627971,0.0455524055418,0.445569994084,1.10222194849,0.477425830728,0.624796117766,0,hH
22,112,112,36.0,38.0,4.70571189418,-0.0105311666508,-1.57718648964,-0.254820418103,-0.691016759438,0.436196341334,0,lL
23,90,90,38.0,40.0,4.46837024773,-0.0224193560485,-0.0900446919058,-0.542476429376,0.168028720367,0.710505149744,0,lL
24,76,76,41.0,41.0,4.69455008366,-0.0273582487126,-1.53346628102,-0.661981773406,-0.665761839124,0.00378006571859,0,lL
25,64,64,41.0,43.0,4.68432732543,-0.0511346275081,-1.8217458945,-1.23729379595,-0.832286174098,0.405007621854,0,lL
26,100,100,42.0,44.0,4.41176788613,-0.0569715006566,-0.183769012115,-1.37852738435,0.113888991563,1.49241637591,1,lL
27,96,96,44.0,44.0,4.68962925027,-0.0412668942002,-1.81284084862,-0.998526334509,-0.827142186203,0.171384148306,0,lL
28,108,108,44.0,44.0,0.935991444277,0.035909167355,0.0487565164405,0.868886548143,0.248207053599,0.620679494544,0,hH
29,124,124,46.0,44.0,4.70993468322,-0.00784727721801,-3.19735587924,-0.189878911613,-1.6269054506,1.43702653899,1,lL
30,116,116,46.0,44.0,4.79322335894,0.0199800657775,-0.246634281996,0.48345343721,0.0775749521011,0.405878485109,0,hL
31,148,148,46.0,45.0,1.58397972313,-0.0452977543596,3.43577094259,-1.09606020755,2.20471142813,3.30077163568,2,lH
32,144,144,48.0,46.0,4.69534612821,-0.0349810308096,-2.05233511019,-0.846428623926,-0.965485727588,0.119057103662,0,lL
33,178,178,48.0,47.0,1.60309690615,-0.0215213755642,0.666052772354,-0.520748185007,0.604787414093,1.1255355991,0,lH
34,180,180,49.0,47.0,1.53717179343,0.0388276039292,1.1543050861,0.939503342342,0.886825713173,0.0526776291693,0,hH
35,156,156,49.0,48.0,4.69123263922,-0.0520326079925,-2.45906625613,-1.25902204032,-1.20043343261,0.0585886077137,0,lL
36,152,152,49.0,48.0,4.74994910142,0.0933296582538,-2.48363857426,2.25827805468,-1.21462759946,3.47290565414,2,hL
37,120,120,50.0,48.0,1.5791954585,-0.00693924471328,0.82616653475,-0.167907440627,0.697276915801,0.865184356428,0,lH
38,174,174,51.0,49.0,4.69305733514,-0.00918419592423,-0.475026915428,-0.22222805155,-0.0543557485684,0.167872302982,0,lL
39,170,170,52.0,50.0,4.66129180783,-0.0367769917783,-0.719119612546,-0.889885112664,-0.195355570127,0.694529542537,0,lL
40,188,188,52.0,50.0,4.68940771383,-0.0165925349204,-0.721875521016,-0.401486067594,-0.196947516986,0.204538550608,0,lL
41,140,140,52.0,52.0,4.66489060614,-0.00446979838122,-0.094033459364,-0.108154768613,0.165724614155,0.273879382768,0,lL
42,192,192,55.0,52.0,4.64546755017,-0.0670637290856,-1.00062991017,-1.62272690689,-0.357969618809,1.26475728808,0,lL
43,132,132,55.0,52.0,1.57729594099,-0.010980156893,1.689331389,-0.265684540288,1.19588294483,1.46156748511,1,lH
44,196,196,57.0,56.0,1.55802641777,0.00113252762583,0.0886823909797,0.0274035320773,0.271270181878,0.2438666498,0,hH
45,208,208,59.0,56.0,1.55530421361,0.0051633877852,0.333264715825,0.124937405122,0.412552836241,0.287615431119,0,hH
