code,UNCODE,yr2000num,yr2011num
784,784,34395,45653
4,4,90,543
12,12,1794,5244
31,31,655,6912
8,8,1200,4030
51,51,621,3305
24,24,298,5318
32,32,7696,10942
40,40,23974,49581
72,72,3204,8533
56,56,22697,46608
50,50,364,743
84,84,3330,4059
70,70,1491,4821
68,68,1011,2374
204,204,362,802
112,112,1273,5820
76,76,3696,12594
64,64,769,2346
100,100,1579,7283
96,96,18350,40301
108,108,131,271
124,124,23560,50344
116,116,294,897
148,148,168,918
178,178,1027,3485
180,180,87,231
156,156,949,5445
152,152,5145,14394
120,120,592,1260
170,170,2512,7104
188,188,4069,8647
140,140,247,489
192,192,2753,5656
208,208,29980,59889
262,262,753,1202
212,212,2793,5530
218,218,1291,4496
818,818,1476,2781
372,372,25630,47478
226,226,2388,27478
233,233,4144,16534
232,232,173,482
222,222,2211,3702
231,231,124,357
203,203,5725,20677
246,246,23530,48812
250,250,21775,42379
270,270,604,506
266,266,4103,11114
268,268,692,3203
288,288,260,1570
276,276,22946,44021
300,300,11396,25630
320,320,1717,3178
324,324,359,498
328,328,972,3408
332,332,424,726
340,340,1143,2247
191,191,4862,14193
348,348,4543,14043
360,360,773,3495
356,356,450,1509
364,364,1550,4525
376,376,19859,31281
380,380,19388,36130
384,384,628,1195
368,368,1063,3501
400,400,1764,4666
404,404,407,808
410,410,11347,22424
414,414,19434,62664
398,398,1229,11357
418,418,326,1320
422,422,4612,9413
428,428,3301,13727
440,440,3267,14100
430,430,186,374
703,703,5330,17782
426,426,393,1106
442,442,46453,114232
434,434,6480,6000
498,498,354,1967
496,496,471,3129
454,454,155,365
807,807,1785,5058
466,466,214,684
504,504,1272,3054
478,478,490,1190
512,512,8775,25221
499,499,1556,7111
484,484,5817,10047
458,458,4006,9977
508,508,237,533
562,562,165,374
566,566,372,1502
528,528,24180,50085
578,578,37473,98081
524,524,225,619
740,740,1911,8131
558,558,1007,1587
600,600,1323,3629
604,604,2061,6018
586,586,512,1189
616,616,4454,13352
591,591,3931,7498
620,620,11471,22485
598,598,655,1845
624,624,174,626
634,634,30053,92501
642,642,1651,8874
643,643,1775,12995
646,646,214,583
682,682,9401,20540
710,710,3020,8070
686,686,492,1119
705,705,10045,24132
694,694,153,496
724,724,14414,31985
688,688,809,6312
736,736,359,1435
752,752,27869,57114
760,760,1209,2893
756,756,35639,83326
764,764,1943,4972
762,762,139,935
626,626,381,896
768,768,270,588
788,788,2245,4350
792,792,4189,10524
834,834,308,532
800,800,256,487
826,826,25058,38974
804,804,636,3615
840,840,35082,48112
854,854,212,613
858,858,6914,13866
860,860,558,1546
862,862,4819,10810
704,704,402,1407
516,516,2062,5383
748,748,1508,3831
887,887,544,1361
894,894,319,1425
716,716,535,757
