ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,percentile_cat,lisa_cat
11,31.598708,65.700751,0.0,0.0,3.30574713318,-0.0465000262564,-0.00770249783424,-0.0406208296418,-0.998789760687,0.958168931045,1,Ll
28,31.598708,65.717751,0.0,0.0,3.20490496911,-0.0348750196923,-0.00221097323152,-0.0304656222314,-0.253372981296,0.222907359065,0,Ll
32,31.598708,65.721751,0.0,0.0,3.16222133735,-0.139500078769,-0.00287811127442,-0.121862488925,-0.343929962704,0.222067473779,0,Ll
34,31.598708,65.723751,0.0,0.0,3.16619908935,-0.104625059077,-0.00257496951109,-0.0913968666941,-0.302781652669,0.211384785974,0,Ll
71,31.599708,65.703751,0.0,0.0,3.21662861566,-0.127875072205,-0.00961327802928,-0.111707281515,-1.25815810047,1.14645081896,1,Ll
77,31.599708,65.709751,0.0,0.0,3.18317650203,-0.267375150974,-0.0111249009476,-0.233569770441,-1.46334503287,1.22977526243,1,Ll
85,31.599708,65.717751,0.0,0.0,3.164789051,-0.0581250328205,-0.00134853323915,-0.0507760370523,-0.136305811787,0.0855297747346,0,Ll
86,31.599708,65.718751,0.0,0.0,3.2765595963,-0.0116250065641,-0.00157858848461,-0.0101552074105,-0.167533394755,0.157378187345,0,Ll
128,31.600708,65.703751,0.0,0.0,3.51294990157,-0.0232500131282,-0.00905414599848,-0.0203104148209,-1.18226180067,1.16195138585,1,Ll
129,31.600708,65.704751,0.0,0.0,3.35889264443,-0.0116250065641,-0.00256663986715,-0.0101552074105,-0.301650991002,0.291495783591,0,Ll
131,31.600708,65.706751,0.0,0.0,3.17204538005,-0.232500131282,-0.00708245238334,-0.203104148209,-0.914625103962,0.711520955752,0,Ll
132,31.600708,65.707751,0.0,0.0,3.39990279092,-0.0232500131282,-0.00614295346571,-0.0203104148209,-0.78709799481,0.766787579989,1,Ll
134,31.600708,65.709751,0.0,0.0,3.15229289271,-0.70912540041,-0.0075881009516,-0.619467652038,-0.983261585545,0.363793933508,0,Ll
143,31.600708,65.718751,0.0,0.0,3.1463910184,-0.186000105025,-0.000892503208064,-0.162483318567,-0.0744045254108,0.0880787931565,0,Ll
144,31.600708,65.719751,0.0,0.0,3.21371306443,-0.0232500131282,-0.00167971377105,-0.0203104148209,-0.181260090125,0.160949675304,0,Ll
189,31.601708,65.707751,0.0,0.0,3.17818245176,-0.162750091897,-0.0059576519794,-0.142172903746,-0.761945264534,0.619772360788,0,Ll
191,31.601708,65.709751,0.0,0.0,3.14601785269,-1.12762563672,-0.00499000052944,-0.985055118814,-0.630596744845,0.35445837397,0,Ll
199,31.601708,65.717751,0.0,0.0,3.14608059751,-0.244125137846,-0.00109562728389,-0.21325935562,-0.101976484998,0.111282870622,0,Ll
200,31.601708,65.718751,0.0,0.0,3.16071544849,-0.0697500393846,-0.00133397830534,-0.0609312444627,-0.134330132415,0.0733988879519,0,Ll
247,31.602708,65.708751,0.0,0.0,3.29050285241,-0.0697500393846,-0.0104639502163,-0.0609312444627,-1.37362791402,1.31269666956,1,Ll
248,31.602708,65.709751,0.0,0.0,3.1654846871,-0.360375203487,-0.00861173511042,-0.314811429724,-1.12220916989,0.807397740169,1,Ll
255,31.602708,65.716751,0.0,0.0,3.2441796611,-0.0348750196923,-0.00359032773502,-0.0304656222314,-0.440605865791,0.410140243559,0,Ll
300,31.603708,65.704751,0.0,0.0,3.21319437294,-0.0697500393846,-0.00500277508794,-0.0609312444627,-0.632330756971,0.571399512509,0,Ll
304,31.603708,65.708751,0.0,0.0,3.4508735936,-0.0465000262564,-0.0148583786821,-0.0406208296418,-1.97012541721,1.92950458757,2,Ll
305,31.603708,65.709751,0.0,0.0,3.14978555886,-1.40282107931,-0.011493437371,-1.22545642806,-1.51336998108,0.287913553023,0,Ll
306,31.603708,65.710751,0.0,0.0,4.07924268421,-0.0116250065641,-0.0158390765279,-0.0101552074105,-2.10324484809,2.09308964068,2,lL
309,31.603708,65.713751,0.0,0.0,3.34921990415,-0.211205191059,-0.0444931510241,-0.184501618089,-5.99273446575,5.80823284766,3,Ll
310,31.603708,65.714751,0.0,0.0,3.42047758701,-0.0930000525127,-0.02663032729,-0.0812416592837,-3.56804378293,3.48680212365,3,Ll
312,31.603708,65.716751,0.0,0.0,3.19873722563,-0.180240317176,-0.0103109817448,-0.157451765258,-1.35286405086,1.1954122856,1,Ll
313,31.603708,65.717751,0.0,0.0,3.19353919578,-0.0581250328205,-0.00302211329258,-0.0507760370523,-0.363476724008,0.312700686956,0,Ll
321,31.603708,65.725751,0.0,0.0,3.0498704627,-0.0697500393846,0.00641562800069,-0.0609312444627,0.917597518301,0.978528762764,1,Lh
350,31.604708,65.697751,0.0,0.0,6.23524319139,0.0676895356139,-0.00324766813239,0.0591312589706,-0.394093424184,0.453224683154,0,Hl
353,31.604708,65.700751,0.0,0.0,3.21252679548,-0.116250065641,-0.00825995704488,-0.101552074105,-1.07445899273,0.972906918626,1,Ll
354,31.604708,65.701751,0.0,0.0,3.15995697371,-0.326027338123,-0.00598794356266,-0.284806311452,-0.766057028764,0.481250717312,0,Ll
355,31.604708,65.702751,0.0,0.0,3.15043129763,-0.405495424711,-0.00358412305324,-0.354226908968,-0.439763645415,0.0855367364473,0,Ll
356,31.604708,65.703751,0.0,0.0,3.14319359184,-1.51600444607,-0.00242703158623,-1.32432953909,-0.282700633375,1.04162890572,1,Ll
357,31.604708,65.704751,0.0,0.0,6.22125466225,0.0597638131283,-0.00370595064277,0.0522076193773,-0.456300460963,0.50850808034,0,Hl
358,31.604708,65.705751,0.0,0.0,3.15079540784,-0.325711045526,-0.00299752333065,-0.284530009076,-0.360138894979,0.075608885903,0,Ll
359,31.604708,65.706751,0.0,0.0,3.18739058526,-0.0348750196923,-0.0015983213919,-0.0304656222314,-0.170211929637,0.139746307406,0,Ll
362,31.604708,65.709751,0.0,0.0,3.1487911335,-2.07358303768,-0.0149269036726,-1.81141109163,-1.97942696486,0.168015873229,0,Ll
363,31.604708,65.710751,0.0,0.0,5.94054845428,0.0560645290498,-0.0199985794941,0.0489760515601,-2.66785368248,2.71682973404,3,Hl
365,31.604708,65.712751,0.0,0.0,4.40736535795,-0.00586521871491,-0.0186286606188,-0.00512365410111,-2.4819015854,2.4767779313,2,lL
366,31.604708,65.713751,0.0,0.0,5.31699320479,0.0193398673182,-0.0279915759879,0.0168946454202,-3.7528189945,3.76971363992,3,hL
369,31.604708,65.716751,0.0,0.0,3.16486641126,-1.01343607485,-0.0235907252221,-0.885303030202,-3.15544973155,2.27014670135,2,Ll
