ID,lat,lon,COUNTt1,COUNTt2
11,31.598708,65.700751,4,0
28,31.598708,65.717751,3,0
32,31.598708,65.721751,12,0
34,31.598708,65.723751,9,0
71,31.599708,65.703751,11,0
77,31.599708,65.709751,23,0
85,31.599708,65.717751,5,0
86,31.599708,65.718751,1,0
128,31.600708,65.703751,2,0
129,31.600708,65.704751,1,0
131,31.600708,65.706751,20,0
132,31.600708,65.707751,2,0
134,31.600708,65.709751,61,0
143,31.600708,65.718751,16,0
144,31.600708,65.719751,2,0
189,31.601708,65.707751,14,0
191,31.601708,65.709751,97,0
199,31.601708,65.717751,21,0
200,31.601708,65.718751,6,0
247,31.602708,65.708751,6,0
248,31.602708,65.709751,31,0
255,31.602708,65.716751,3,0
300,31.603708,65.704751,6,0
304,31.603708,65.708751,4,0
305,31.603708,65.709751,124,4
306,31.603708,65.710751,1,0
309,31.603708,65.713751,19,1
310,31.603708,65.714751,8,0
312,31.603708,65.716751,18,3
313,31.603708,65.717751,5,0
321,31.603708,65.725751,6,0
350,31.604708,65.697751,0,7
353,31.604708,65.700751,10,0
354,31.604708,65.701751,53,30
355,31.604708,65.702751,153,142
356,31.604708,65.703751,172,50
357,31.604708,65.704751,9,17
358,31.604708,65.705751,38,12
359,31.604708,65.706751,3,0
362,31.604708,65.709751,200,26
363,31.604708,65.710751,1,7
365,31.604708,65.712751,3,3
366,31.604708,65.713751,0,2
369,31.604708,65.716751,93,7
371,31.604708,65.718751,2,0
372,31.604708,65.719751,20,0
373,31.604708,65.720751,3,0
376,31.604708,65.723751,2,0
377,31.604708,65.724751,1,0
410,31.605708,65.700751,52,21
411,31.605708,65.701751,24,0
412,31.605708,65.702751,117,112
413,31.605708,65.703751,73,68
414,31.605708,65.704751,109,124
415,31.605708,65.705751,129,113
416,31.605708,65.706751,55,108
417,31.605708,65.707751,89,68
418,31.605708,65.708751,166,69
419,31.605708,65.709751,375,103
420,31.605708,65.710751,558,113
421,31.605708,65.711751,375,43
422,31.605708,65.712751,363,11
423,31.605708,65.713751,540,10
424,31.605708,65.714751,252,3
425,31.605708,65.715751,161,3
426,31.605708,65.716751,205,12
427,31.605708,65.717751,17,6
428,31.605708,65.718751,4,3
429,31.605708,65.719751,18,0
430,31.605708,65.720751,12,0
431,31.605708,65.721751,5,0
433,31.605708,65.723751,3,0
436,31.605708,65.726751,0,2
437,31.605708,65.727751,0,2
439,31.605708,65.729751,0,2
464,31.606708,65.697751,12,4
465,31.606708,65.698751,24,22
469,31.606708,65.702751,62,39
472,31.606708,65.705751,0,2
473,31.606708,65.706751,28,14
475,31.606708,65.708751,1,0
476,31.606708,65.709751,62,4
477,31.606708,65.710751,14,7
479,31.606708,65.712751,1,1
480,31.606708,65.713751,133,19
481,31.606708,65.714751,42,6
482,31.606708,65.715751,338,16
483,31.606708,65.716751,846,79
484,31.606708,65.717751,420,20
485,31.606708,65.718751,388,74
486,31.606708,65.719751,383,69
487,31.606708,65.720751,78,84
488,31.606708,65.721751,362,67
489,31.606708,65.722751,301,122
490,31.606708,65.723751,167,92
491,31.606708,65.724751,119,143
492,31.606708,65.725751,75,174
493,31.606708,65.726751,96,248
494,31.606708,65.727751,28,102
495,31.606708,65.728751,6,22
496,31.606708,65.729751,1,0
497,31.606708,65.730751,2,0
499,31.606708,65.732751,3,0
500,31.606708,65.733751,7,10
501,31.606708,65.734751,13,0
521,31.607708,65.697751,2,8
523,31.607708,65.699751,21,0
526,31.607708,65.702751,44,45
527,31.607708,65.703751,1,0
530,31.607708,65.706751,62,7
533,31.607708,65.709751,64,22
534,31.607708,65.710751,3,5
536,31.607708,65.712751,0,11
537,31.607708,65.713751,112,18
539,31.607708,65.715751,0,4
540,31.607708,65.716751,208,92
541,31.607708,65.717751,11,4
543,31.607708,65.719751,3,0
544,31.607708,65.720751,5,6
545,31.607708,65.721751,11,35
546,31.607708,65.722751,24,4
547,31.607708,65.723751,2,0
548,31.607708,65.724751,2,2
549,31.607708,65.725751,1,22
550,31.607708,65.726751,81,150
551,31.607708,65.727751,104,262
552,31.607708,65.728751,71,226
553,31.607708,65.729751,137,89
554,31.607708,65.730751,71,13
555,31.607708,65.731751,83,82
556,31.607708,65.732751,237,110
557,31.607708,65.733751,146,24
558,31.607708,65.734751,277,20
559,31.607708,65.735751,161,83
560,31.607708,65.736751,99,62
561,31.607708,65.737751,51,0
562,31.607708,65.738751,1,0
576,31.608708,65.695751,14,0
577,31.608708,65.696751,6,18
578,31.608708,65.697751,4,24
579,31.608708,65.698751,5,0
580,31.608708,65.699751,21,0
581,31.608708,65.700751,3,0
582,31.608708,65.701751,40,0
583,31.608708,65.702751,43,81
587,31.608708,65.706751,90,98
588,31.608708,65.707751,4,1
589,31.608708,65.708751,9,0
590,31.608708,65.709751,88,30
591,31.608708,65.710751,2,10
593,31.608708,65.712751,6,4
594,31.608708,65.713751,118,63
596,31.608708,65.715751,0,3
597,31.608708,65.716751,423,275
598,31.608708,65.717751,30,0
599,31.608708,65.718751,7,0
600,31.608708,65.719751,11,0
601,31.608708,65.720751,44,56
603,31.608708,65.722751,2,3
604,31.608708,65.723751,0,2
606,31.608708,65.725751,13,8
607,31.608708,65.726751,11,33
608,31.608708,65.727751,1,0
609,31.608708,65.728751,4,10
610,31.608708,65.729751,2,0
614,31.608708,65.733751,20,0
616,31.608708,65.735751,0,3
618,31.608708,65.737751,2,0
620,31.608708,65.739751,12,0
621,31.608708,65.740751,22,0
622,31.608708,65.741751,17,0
623,31.608708,65.742751,34,9
632,31.609708,65.694751,0,1
633,31.609708,65.695751,7,0
634,31.609708,65.696751,0,1
635,31.609708,65.697751,15,84
636,31.609708,65.698751,7,30
637,31.609708,65.699751,48,66
638,31.609708,65.700751,236,231
639,31.609708,65.701751,242,222
640,31.609708,65.702751,291,239
641,31.609708,65.703751,212,114
642,31.609708,65.704751,141,115
643,31.609708,65.705751,20,8
644,31.609708,65.706751,277,192
645,31.609708,65.707751,83,79
646,31.609708,65.708751,54,29
647,31.609708,65.709751,179,55
648,31.609708,65.710751,109,55
649,31.609708,65.711751,56,28
650,31.609708,65.712751,4,12
651,31.609708,65.713751,78,68
652,31.609708,65.714751,0,5
653,31.609708,65.715751,0,2
654,31.609708,65.716751,499,243
655,31.609708,65.717751,9,6
656,31.609708,65.718751,0,17
657,31.609708,65.719751,0,4
658,31.609708,65.720751,51,23
659,31.609708,65.721751,1,0
661,31.609708,65.723751,1,1
662,31.609708,65.724751,0,26
663,31.609708,65.725751,2,12
664,31.609708,65.726751,9,20
665,31.609708,65.727751,8,20
666,31.609708,65.728751,4,28
667,31.609708,65.729751,0,9
669,31.609708,65.731751,1,0
670,31.609708,65.732751,2,0
672,31.609708,65.734751,9,0
673,31.609708,65.735751,3,0
680,31.609708,65.742751,0,14
681,31.609708,65.743751,0,21
688,31.610708,65.693751,3,7
689,31.610708,65.694751,5,37
690,31.610708,65.695751,62,125
691,31.610708,65.696751,73,118
692,31.610708,65.697751,176,318
693,31.610708,65.698751,195,243
694,31.610708,65.699751,108,114
695,31.610708,65.700751,161,176
696,31.610708,65.701751,3,31
697,31.610708,65.702751,267,175
698,31.610708,65.703751,1,0
699,31.610708,65.704751,198,97
700,31.610708,65.705751,248,91
701,31.610708,65.706751,468,188
702,31.610708,65.707751,141,152
703,31.610708,65.708751,59,176
704,31.610708,65.709751,120,253
705,31.610708,65.710751,69,211
